Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Honda,Accord Sport Special Edition Fwd,90.84922449991582,12950.0,2021,4955,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=338334202/NONE,2020_Chevrolet_Traverse_LT_Cloth_FWD,87366275
Toyota,Corolla Cross Le Fwd,85.36323933635278,12950.0,2022,10081,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348574668/NONE,2020_Toyota_Tacoma_SR_I4_Access_Cab_RWD,144317692
Subaru,Wrx Awd,85.16353576298442,8950.0,2021,2614,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=330555979/NONE,2012_Nissan_Maxima_S,37022614
Honda,Cr-v Lx Fwd,76.05287822747039,12950.0,2020,14647,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=334010951/NONE,2018_RAM_1500_Big_Horn_Crew_Cab_4WD,158760900
Ford,Edge Sel Awd,75.21782375049509,10950.0,2020,18957,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=339229649/NONE,2020_Chrysler_300_S_RWD,163027560
Nissan,Altima 2.5 S Fwd,74.12163716799104,11950.0,2021,5419,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=333449568/NONE,1992_Chevrolet_Corvette_Convertible_RWD,79859594
Nissan,Frontier Sv King Cab Rwd,74.01623318945771,10950.0,2022,8530,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=337457402/NONE,2016_Kia_Forte5_LX,122933160
Ford,Focus Se,65.4827896572114,11573.0,2014,18407,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=345879453/NONE,2017_Volkswagen_Jetta_1.4T_SE_FWD,154304752
Ford,Fiesta S Fwd,58.815010054133644,10995.0,2019,31083,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=346220072/NONE,2016_Mazda_MAZDA3_i_Sport,258678828
Chevrolet,Colorado Work Truck Crew Cab Rwd,55.01149652031183,10950.0,2020,21962,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=343498943/NONE,2020_Ford_Edge_SEL_AWD,418541160
