Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Fiesta,54.82654749,13500,2019,30007,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_155_3.png,246710532,,,,,,,,,,,,TRUE,8
Hyundai,Elantra,41.80097328,14600,2018,25450,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_25_9.png,363696900,,,,,,,,,,,,TRUE,8
Chevrolet,Spark,39.89849854,14177,2017,26983,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_139_14.png,492586914,,,,,,,,,,,,TRUE,8
Chevrolet,Cruze,38.08320316,14500,2018,29490,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_188_15.png,538352380,,,,,,,,,,,,TRUE,8
Hyundai,Sonata,33.88611724,13995,2017,33785,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_21_17.png,479781425,,,,,,,,,,,,TRUE,8
Ford,Focus,33.70040896,14995,2018,47105,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_128_5.png,382705735,,,,,,,,,,,,TRUE,8
Nissan,Sentra,33.37366278,12349,2017,37377,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_162_0.png,454781556,,,,,,,,,,,,TRUE,8
Hyundai,Sonata,32.80613897,13995,2017,35000,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_107_16.png,496852040,,,,,,,,,,,,TRUE,8
Hyundai,Accent,30.8784892,14990,2016,34194,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_188_2.png,485243928,,,,,,,,,,,,TRUE,8
Chevrolet,Spark Ev,30.87635412,12951,2015,36739,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_125_7.png,669370005,,,,,,,,,,,,TRUE,8
Mitsubishi,Mirage G4,30.86913392,12995,2020,28895,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_8_11.png,587187650,,,,,,,,,,,,TRUE,8
Smart,Fortwo Electric Drive,30.36895723,12444,2016,25707,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_78_10.png,266966280,,,,,,,,,,,,TRUE,8
Honda,Fit,29.66302054,13995,2015,50000,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_180_18.png,504967565,,,,,,,,,,,,TRUE,8
Nissan,Versa,25.29937944,13995,2018,45187,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_193_4.png,548873571,,,,,,,,,,,,TRUE,8
Bmw,I3,22.29884334,14995,2014,28735,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_86_13.png,174276650,,,,,,,,,,,,TRUE,8
Mitsubishi,Mirage G4,22.19361652,11730,2017,38449,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_69_6.png,777838870,,,,,,,,,,,,TRUE,8
Kia,Forte,19.58138603,14171,2017,37575,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_31_12.png,228712570,,,,,,,,,,,,TRUE,8
Chevrolet,Malibu,19.07686659,14862,2015,48385,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_122_8.png,879156243,,,,,,,,,,,,TRUE,8
Fiat,500e,17.33997866,12890,2017,43176,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_85_1.png,349220488,,,,,,,,,,,,TRUE,8
