Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Ford,Focus,53.4839467441667,14300.0,2018,30490,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_11_14.png,249904780,,,,,,,,,,,,True,1.0
Chevrolet,Spark,45.93189682761019,15000.0,2021,28456,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_74_8.png,520961184,,,,,,,,,,,,True,1.0
Ford,Focus,43.07172262675523,13794.0,2018,44287,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_59_7.png,360450374,,,,,,,,,,,,True,1.0
Hyundai,Elantra,42.64639820204217,14600.0,2018,25450,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_157_15.png,363799100,,,,,,,,,,,,True,1.0
Ford,Focus Electric,42.47359655063452,11992.0,2015,41180,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_157_5.png,338962096,,,,,,,,,,,,True,1.0
Ford,Fusion,39.064459156623606,14430.0,2017,45335,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_168_12.png,369139400,,,,,,,,,,,,True,1.0
Hyundai,Sonata,34.57556546745562,13995.0,2017,35000,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_64_19.png,497019980,,,,,,,,,,,,True,1.0
Nissan,Leaf,34.2363291081324,12989.0,2016,35134,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_167_18.png,426747368,,,,,,,,,,,,True,1.0
Mitsubishi,Mirage,33.61641183169183,13950.0,2021,29734,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_41_0.png,603686240,,,,,,,,,,,,True,1.0
Mitsubishi,Mirage,32.90556269233399,14630.0,2020,26474,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_168_9.png,537583760,,,,,,,,,,,,True,1.0
Honda,Fit,32.55517904069557,13995.0,2015,50000,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_20_21.png,505093520,,,,,,,,,,,,True,1.0
Mitsubishi,Mirage G4,31.195455909595466,14346.0,2020,29629,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_104_1.png,602508334,,,,,,,,,,,,True,1.0
Chevrolet,Trax,30.366479690268218,14995.0,2018,41460,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_188_11.png,754795920,,,,,,,,,,,,True,1.0
Smart,Fortwo Electric Drive,29.580929690249974,12444.0,2016,25707,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_38_16.png,266704956,,,,,,,,,,,,True,1.0
Nissan,Leaf,25.81233600454266,13193.0,2016,47319,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_110_10.png,573689924,,,,,,,,,,,,True,1.0
Chevrolet,Malibu,24.871419950943128,14502.0,2014,40400,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_139_6.png,734378688,,,,,,,,,,,,True,1.0
Hyundai,Sonata,24.13193417349166,14998.0,2015,43147,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_2_17.png,610748147,,,,,,,,,,,,True,1.0
Buick,Verano,21.352206188980936,14995.0,2015,30359,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_67_13.png,307756295,,,,,,,,,,,,True,1.0
Mitsubishi,Mirage,20.73586621181017,10500.0,2015,41925,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_135_3.png,846048750,,,,,,,,,,,,True,1.0
Fiat,500e,20.604143655489807,12371.0,2017,43176,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_86_2.png,349333648,,,,,,,,,,,,True,1.0
Jeep,Patriot,15.895586426813724,14650.0,2017,46605,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_37_4.png,377547390,,,,,,,,,,,,True,1.0
Kia,Optima,13.639446158193454,13995.0,2016,50000,2023-03-01,CarsDirect,Not Found,Images/2023_03_01_13_20.png,303491610,,,,,,,,,,,,True,1.0
Ford,F-550 Chassis Cab,66.41183059,11000.0,2012,13872,12/29/2022,CarsDirect,,Images/2022_12_29_118_7.png,123983856,,,,,,,,,,,,False,
Ford,F-550 Chassis Cab,66.41183059,11000.0,2012,13872,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2153866154/ford/f-550-chassis-cab?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_40_7.png,111641856,,,,,,,,,,,,False,
Ford,Focus,61.50446429,11573.0,2014,18407,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_48_2.png,151816557,,,,,,,,,,,,False,1.0
Ford,Focus,60.32824985121176,11573.0,2014,18407,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_42_4.png,151758692,,,,,,,,,,,,False,11.0
Ford,Focus,60.21830158873138,11573.0,2014,18527,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_68_2.png,152725412,,,,,,,,,,,,False,8.0
Ford,Focus,58.4608257,13000.0,2014,18407,1/12/2023,CarsDirect,,Images/2023_01_12_194_6.png,152056792,,,,,,,,,,,,False,
Ford,Fiesta,58.2158286256056,14133.0,2019,28219,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_124_13.png,232814928,,,,,,,,,,,,False,11.0
Ford,Fiesta,58.15344239,13853.0,2016,19392,12/29/2022,CarsDirect,,Images/2022_12_29_188_8.png,161197932,,,,,,,,,,,,False,
Ford,Fiesta,58.15344239,13853.0,2016,19392,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2171662584/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_103_8.png,156377088,,,,,,,,,,,,False,
Toyota,Camry,57.62281717,14500.0,2012,14710,1/12/2023,CarsDirect,,Images/2023_01_12_35_7.png,181711620,,,,,,,,,,,,False,
Ford,Focus,57.62275374,13399.0,2014,18407,12/29/2022,CarsDirect,,Images/2022_12_29_43_6.png,152105507,,,,,,,,,,,,False,
