Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Ford,Fiesta,61.161370862861965,12990.0,2015,16887,2023-02-23,Carvana,True,22,,,140863560
Nissan,Versa,47.62038254402985,14590.0,2017,16570,2023-02-23,Carvana,True,22,https://www.carvana.com/vehicle/2553353,,203958790
Chevrolet,Spark,44.40059312154142,13990.0,2019,27339,2023-02-23,Carvana,True,22,,,499854769
Chevrolet,Spark,43.48447756861142,13247.0,2021,35615,2023-02-23,Carvana,True,22,,,650649340
Ford,Fiesta,41.25819661334514,12590.0,2015,41355,2023-02-23,Carvana,True,22,,,336418440
Chevrolet,Spark Ev,41.137331688658115,12590.0,2014,21320,2023-02-23,Carvana,True,22,,,390575840
Chevrolet,Spark,40.23277033982263,13990.0,2016,24622,2023-02-23,Carvana,True,22,,,449539568
Ford,Focus,40.20161221067558,14590.0,2016,40763,2023-02-23,Carvana,True,22,,,331630832
Nissan,Versa,39.32662024584042,14990.0,2016,23487,2023-02-23,Carvana,True,22,,2016_Nissan_Versa,287021802
Nissan,Versa,38.312289608310316,13990.0,2017,29869,2023-02-23,Carvana,True,22,,2017_Nissan_Versa,364132738
Chevrolet,Spark,38.11074350867769,13407.0,2021,42270,2023-02-23,Carvana,True,22,https://www.carvana.com/vehicle/2645666,,771396360
Ford,Fiesta,37.731221392800116,14990.0,2017,45820,2023-02-23,Carvana,True,22,,,373003540
Chevrolet,Spark,36.592245450568775,12495.0,2020,43772,2023-02-23,Carvana,True,22,,,798024060
Chevrolet,Spark Ev,36.117031720293575,13990.0,2016,30169,2023-02-23,Carvana,True,22,,2016_Chevrolet_Spark_EV,551415456
Nissan,Versa,35.627513843998436,11990.0,2016,35514,2023-02-23,Carvana,True,22,https://www.carvana.com/vehicle/2564752,2016_Nissan_Versa,431675594
Chevrolet,Spark,35.34950878243691,12897.0,2020,44554,2023-02-23,Carvana,True,22,,,812248695
Ford,Fiesta,35.306763448281345,13990.0,2019,56871,2023-02-23,Carvana,True,22,,,462228096
Ford,Focus,35.068800620345904,14590.0,2017,50419,2023-02-23,Carvana,True,22,https://www.carvana.com/vehicle/2631480,,409333742
Hyundai,Accent,34.910157979634235,14590.0,2016,30449,2023-02-23,Carvana,True,22,,2016_Hyundai_Accent,432672648
Chevrolet,Sonic,34.511471725903206,14590.0,2017,33702,2023-02-23,Carvana,True,22,,2017_Chevrolet_Sonic,614272706
Ford,Fiesta,34.40488831459218,13990.0,2019,58137,2023-02-23,Carvana,True,22,https://www.carvana.com/vehicle/2455967,,472368372
Ford,Ecosport,34.15926609056877,15000.0,2020,58820,2023-02-23,Carvana,True,22,,,479345600
Ford,Escape,34.12220213186063,14990.0,2014,42742,2023-02-23,Carvana,True,22,,,347387512
Toyota,Corolla,33.89399089342404,14590.0,2009,33230,2023-02-23,Carvana,True,22,,,403924710
Chevrolet,Spark,33.566212554898094,13807.0,2020,44947,2023-02-23,Carvana,True,22,,,819414615
Ford,Fiesta,33.38527816218868,13990.0,2018,56894,2023-02-23,Carvana,True,22,,,462018388
Chevrolet,Spark,32.96668507014666,14990.0,2020,43046,2023-02-23,Carvana,True,22,,2020_Chevrolet_Spark,784974680
