,Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash
0,Ford,Focus,58.4608256972309,13000,2014,18407,2023-01-12,CarsDirect,,Images/2023_01_12_194_6.png,152056792
1,Toyota,Camry,57.622817172125295,14500,2012,14710,2023-01-12,CarsDirect,,Images/2023_01_12_35_7.png,181711620
2,Ford,Fiesta,48.707365333594545,13500,2019,30007,2023-01-12,CarsDirect,,Images/2023_01_12_75_14.png,246224532
3,Ford,Fiesta,42.95007010923783,12715,2016,32706,2023-01-12,CarsDirect,,Images/2023_01_12_41_4.png,266945364
4,Hyundai,Elantra,37.458821841950815,14600,2018,25322,2023-01-12,CarsDirect,,Images/2023_01_12_30_17.png,361479972
5,Chevrolet,Cruze,32.9870380312213,14500,2018,29490,2023-01-12,CarsDirect,,Images/2023_01_12_199_22.png,537917380
6,Mitsubishi,Mirage G4,30.46766843716356,14522,2019,21601,2023-01-12,CarsDirect,,Images/2023_01_12_175_1.png,440045130
7,Hyundai,Sonata,27.83603943107846,14250,2017,33785,2023-01-12,CarsDirect,,Images/2023_01_12_186_24.png,479318915
8,Nissan,Versa,27.076187683640445,14198,2021,38716,2023-01-12,CarsDirect,,Images/2023_01_12_113_11.png,471386946
9,Hyundai,Sonata,27.00644860279563,13995,2017,35000,2023-01-12,CarsDirect,,Images/2023_01_12_94_23.png,496432190
10,Nissan,Versa,26.183814020610146,14198,2021,39623,2023-01-12,CarsDirect,,Images/2023_01_12_115_12.png,482314238
11,Nissan,Versa,26.080371801799817,14084,2021,39900,2023-01-12,CarsDirect,,Images/2023_01_12_24_10.png,485658320
12,Mitsubishi,Mirage G4,26.05090644903989,13259,2020,28895,2023-01-12,CarsDirect,,Images/2023_01_12_4_20.png,586781606
13,Fiat,500e,26.01127286479339,14812,2017,23538,2023-01-12,CarsDirect,,Images/2023_01_12_100_9.png,191445032
14,Ford,Focus,25.701619198449137,14995,2018,47105,2023-01-12,CarsDirect,,Images/2023_01_12_77_16.png,382105935
15,Smart,Fortwo Electric Drive,25.696819059540864,12900,2016,25707,2023-01-12,CarsDirect,,Images/2023_01_12_57_18.png,265899060
16,Nissan,Sentra,24.888344741965103,13862,2017,37377,2023-01-12,CarsDirect,,Images/2023_01_12_25_3.png,454332582
17,Nissan,Versa,23.22870465118254,14249,2021,42650,2023-01-12,CarsDirect,,Images/2023_01_12_131_13.png,518812535
18,Hyundai,Accent,22.071566085893274,10797,2017,44998,2023-01-12,CarsDirect,,Images/2023_01_12_2_2.png,636751966
19,Honda,Fit,21.534748572186512,13995,2015,50000,2023-01-12,CarsDirect,,Images/2023_01_12_168_25.png,504631685
20,Nissan,Leaf,19.524577217573714,10800,2015,45826,2023-01-12,CarsDirect,,Images/2023_01_12_32_21.png,554857140
21,Chevrolet,Cruze Limited,19.447663859540864,14900,2016,40788,2023-01-12,CarsDirect,,Images/2023_01_12_134_19.png,743737772
22,Nissan,Versa,18.598057432523213,13995,2018,45187,2023-01-12,CarsDirect,,Images/2023_01_12_2_15.png,548383746
23,Nissan,Versa Note,17.09143664060402,14450,2018,46318,2023-01-12,CarsDirect,,Images/2023_01_12_69_0.png,563274844
24,Volkswagen,Jetta,13.518841485987146,12100,2013,49308,2023-01-12,CarsDirect,,Images/2023_01_12_121_5.png,993356540
25,Fiat,500e,12.09141099848587,12742,2017,43145,2023-01-12,CarsDirect,,Images/2023_01_12_65_8.png,348705476
