Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Ford,Fiesta,64.79818437373237,14990,2013,13241,2023-04-05,Carvana,True,1,,,112372692
Ford,Fiesta,62.39046112937394,14590,2016,23050,2023-04-05,Carvana,True,1,,,191302680
Nissan,Versa,61.31996739053255,13590,2017,16570,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2553353,2017_Nissan_Versa,204675090
Nissan,Leaf,59.86861450811327,14590,2016,13675,2023-04-05,Carvana,True,1,,,168856040
Chevrolet,Cruze,52.80267142085542,16990,2017,18032,2023-04-05,Carvana,True,1,,,331752296
Chevrolet,Cruze,52.80267142085542,16990,2017,18032,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2643265,2017_Chevrolet_Cruze,331752296
Ford,Focus,52.70339071965976,13590,2014,34339,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2644745,2014_Ford_Focus,280168384
Ford,Focus,52.70339071965976,13590,2014,34339,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2644745,2014_Ford_Focus,280168384
Nissan,Versa,51.86124453648932,14590,2017,25953,2023-04-05,Carvana,True,1,,,317803656
Nissan,Versa,51.86124453648932,14590,2017,25953,2023-04-05,Carvana,True,1,https://www.carvana.com/vehicle/2644430,2017_Nissan_Versa,317803656
Nissan,Leaf,51.6321929400862,15590,2017,23482,2023-04-05,Carvana,True,1,,,287359524
Smart,Fortwo Electric Drive,50.60615026462195,15990,2018,13176,2023-04-05,Carvana,True,1,,2018_smart_fortwo_electric_drive,149735340
Hyundai,Accent,50.240127967284685,15990,2016,22326,2023-04-05,Carvana,True,1,,,319861512
Ford,Focus,49.9595659037258,13990,2016,40763,2023-04-05,Carvana,True,1,,,332140382
Ford,Fiesta,49.54276046211722,14590,2018,43511,2023-04-05,Carvana,True,1,,,355510252
Kia,Forte,49.52996534697366,17590,2016,6349,2023-04-05,Carvana,True,1,,,42708302
Ford,Ecosport,48.96291438637154,17449,2019,38287,2023-04-05,Carvana,True,1,,,315906228
Nissan,Versa,48.677044173355426,11990,2016,35575,2023-04-05,Carvana,True,1,,,433192800
Ford,Fiesta,48.48389479437869,13590,2017,45820,2023-04-05,Carvana,True,1,,,373589680
