Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,OnSale,Days,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments
Ford,Explorer Xlt,85.55107851194846,11995.0,2014,110,2023-04-04,KSL,https://cars.ksl.com/listing/8478786,,13121060,True,35.0,,,,,,,,,,,
Ford,Focus Se,80.64533136600264,11499.0,2016,10591,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=676083678&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=175&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D175&clickType=listing,Used_2015_Ford_Escape_Titanium,92765184,True,35.0,,,,,,,,,,,
Ford,Ecosport S,80.00767499166412,16000.0,2021,8398,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=677631863&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=225&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D225&clickType=listing,Used_2019_Kia_Forte_LXS,80689432,True,35.0,,,,,,,,,,,
Ford,Ecosport Se,78.7828966625073,15995.0,2020,7830,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675437877&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=75&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D75&clickType=listing,Image not found,76990110,True,35.0,,,,,,,,,,,
Ford,Ecosport S,78.67007471400468,11995.0,2018,15219,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=667230471&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=75&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D75&clickType=listing,Image not found,132203868,True,35.0,,,,,,,,,,,
Not recognized,None,77.42272702602254,12950.0,2014,1,2023-04-04,CarsDirect,Not Found,Images/2023_04_04_88_1.png,4016796,True,35.0,,,,,,,,,,,
Toyota,Corolla Le,76.44365092455622,17595.0,2020,5975,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=676653813&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=75&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D75&clickType=listing,Image not found,85789200,True,35.0,,,,,,,,,,,
Toyota,Corolla Le,73.79442032080942,16499.0,2021,13921,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661783213&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=225&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D225&clickType=listing,Certified_2020_Hyundai_Elantra_SE,180850316,True,35.0,,,,,,,,,,,
Subaru,Impreza 2.0i,72.83642513040122,17999.0,2023,2190,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675510745&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=125&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D125&clickType=listing,Used_2021_Honda_HR-V_LX,42133356,True,35.0,,,,,,,,,,,
Hyundai,Accent Se Sedan Fwd,72.78375791330556,10495.0,2016,9633,2023-04-04,CarGuru,,2016_Hyundai_Elantra_SE_FWD,150298056,True,1.0,,,,,,,,,,,
