Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Toyota,Corolla L,65.96203534481559,14741.0,2018,15767,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8363623,,199530321
Hyundai,Elantra Se,53.43656599036402,12497.0,2019,19944,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8402465,,288491962
Ford,Escape Sel,51.25934565202805,14990.0,2019,34165,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8052366,,283561440
Ford,Fiesta Se,41.55282798587611,8895.0,2018,57671,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8265153,,468802567
Kia,Forte Gt,40.70825846208804,14990.0,2020,14934,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8324068,,95296840
Nissan,Leaf Sl,34.086187002344865,13693.0,2016,33704,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8274269,,410942518
Chevrolet,Spark 1lt,33.49923063763314,13500.0,2020,45759,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8269020,,835908120
Hyundai,Elantra Se,31.69352538963142,12371.0,2019,48313,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8363619,,686642639
Chevrolet,Sonic Ls,31.4788231426693,11000.0,2016,43750,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8287959,,796528000
Hyundai,Tucson Se,27.728105713386203,14990.0,2017,42796,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/7888590,,607879294
Ford,Fiesta Se,27.54979193238391,13499.0,2019,69437,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8257063,,564053469
Mazda,Mazda3 Touring,26.153583177917856,14990.0,2017,45273,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8138143,,462034565
Hyundai,Sonata Limited,24.657252227253288,13999.0,2017,50000,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8315447,,710653664
Chevrolet,Cruze Lt Auto,23.712796640579644,9990.0,2017,60911,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8275235,,1108704393
Chevrolet,Spark 2lt,22.770988614266123,10690.0,2015,55472,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8235871,,1008101340
Kia,Soul Base,22.193009142054237,13900.0,2019,42234,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8399770,,258563538
Kia,Forte Lxs,20.766511101405356,13471.0,2019,45708,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8221475,,279278136
Chevrolet,Cruze Ls Auto,19.50083100001342,10900.0,2014,58000,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8349555,,1054000300
Hyundai,Santa Fe Sport 2.4l,19.331051434215407,13990.0,2014,51097,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8376808,,725415896
Cadillac,Ats 3.6l Premium,19.019299596740062,14990.0,2013,29138,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8374915,,473795312
Mazda,Mazda3 Touring,18.13217894289954,14990.0,2017,59041,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8117481,,599205965
Honda,Civic Lx-s,17.43319616,12777.0,2010,64169,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8269085,,647070540
Nissan,Versa Sv,17.20055333102336,14999.0,2019,66156,2023-02-22,KSL,True,8.0,https://cars.ksl.com/listing/8257064,,803453648
